,postal_code,yelp_dollar_1,yelp_dollar_2,yelp_dollar_3,yelp_dollar_4,Total_Business,STATE,income_level_1,income_level_2,income_level_3,income_level_4,income_level_5,income_level_6
0,12919,1,2,1,0,4,NY,580.0,420.0,250.0,170.0,160.0,0.0
1,12923,0,1,0,0,1,NY,80.0,70.0,30.0,20.0,20.0,0.0
2,12979,3,1,0,0,4,NY,430.0,290.0,160.0,130.0,160.0,0.0
3,15003,7,12,0,2,21,PA,2340.0,1650.0,820.0,450.0,360.0,40.0
4,15009,0,1,0,0,1,PA,2600.0,1510.0,1030.0,840.0,1360.0,370.0
5,15015,0,1,0,0,1,PA,160.0,70.0,60.0,70.0,190.0,110.0
6,15017,25,54,9,3,91,PA,2380.0,1930.0,1320.0,910.0,1330.0,520.0
7,15024,3,11,2,0,16,PA,1470.0,1050.0,650.0,490.0,630.0,180.0
8,15025,3,9,2,1,15,PA,2870.0,1740.0,1000.0,730.0,1200.0,370.0
9,15026,1,1,0,0,2,PA,580.0,400.0,300.0,230.0,410.0,90.0
10,15030,0,1,0,0,1,PA,210.0,150.0,80.0,30.0,20.0,0.0
11,15031,1,0,0,0,1,PA,120.0,80.0,40.0,40.0,0.0,0.0
12,15034,1,4,0,0,5,PA,360.0,280.0,120.0,70.0,50.0,0.0
13,15035,1,2,2,1,6,PA,450.0,360.0,150.0,80.0,50.0,0.0
14,15037,7,3,0,0,10,PA,1890.0,1350.0,860.0,640.0,770.0,90.0
15,15038,1,0,0,0,1,PA,70.0,70.0,20.0,30.0,0.0,0.0
16,15044,17,35,6,1,59,PA,4090.0,2090.0,1630.0,1470.0,3240.0,2020.0
17,15045,0,4,0,0,4,PA,940.0,590.0,280.0,140.0,100.0,0.0
18,15051,0,1,0,0,1,PA,80.0,70.0,30.0,40.0,0.0,0.0
19,15055,0,1,0,0,1,PA,220.0,230.0,150.0,100.0,110.0,20.0
20,15056,2,2,2,0,6,PA,210.0,170.0,70.0,40.0,60.0,0.0
21,15057,6,3,2,0,11,PA,2160.0,1290.0,910.0,790.0,1720.0,520.0
22,15063,2,7,1,0,10,PA,1950.0,1450.0,910.0,600.0,650.0,80.0
23,15067,0,2,0,0,2,PA,460.0,310.0,160.0,90.0,80.0,0.0
24,15068,12,23,4,1,40,PA,7260.0,4610.0,2730.0,1850.0,2130.0,340.0
25,15071,4,13,2,0,19,PA,1700.0,1260.0,840.0,630.0,1010.0,260.0
26,15075,0,0,0,1,1,PA,40.0,30.0,30.0,0.0,0.0,0.0
27,15076,0,0,1,0,1,PA,220.0,150.0,70.0,30.0,30.0,0.0
28,15085,2,6,0,0,8,PA,1390.0,920.0,610.0,470.0,620.0,100.0
29,15086,0,1,0,0,1,PA,50.0,30.0,40.0,0.0,40.0,40.0
30,15090,55,77,22,6,160,PA,2940.0,1470.0,1230.0,1030.0,2780.0,2200.0
31,15101,13,30,5,2,50,PA,3790.0,2220.0,1740.0,1410.0,2700.0,1090.0
32,15102,29,74,6,1,110,PA,4670.0,3000.0,2210.0,2020.0,3140.0,700.0
33,15104,0,6,0,1,7,PA,2090.0,1030.0,290.0,120.0,60.0,0.0
34,15106,20,30,2,3,55,PA,3480.0,2690.0,1540.0,1030.0,1180.0,240.0
35,15108,34,65,14,2,115,PA,6210.0,4260.0,2930.0,2330.0,3940.0,1240.0
36,15110,1,1,0,0,2,PA,1350.0,590.0,180.0,70.0,50.0,0.0
37,15112,2,3,1,0,6,PA,720.0,460.0,180.0,80.0,60.0,0.0
38,15116,11,9,5,1,26,PA,2270.0,1490.0,1180.0,1000.0,1520.0,290.0
39,15120,27,47,8,1,83,PA,3870.0,2620.0,1280.0,760.0,770.0,90.0
40,15122,22,51,2,2,77,PA,3940.0,2790.0,1660.0,1060.0,930.0,80.0
41,15126,1,5,1,0,7,PA,1220.0,870.0,590.0,460.0,670.0,100.0
42,15129,3,5,1,1,10,PA,1760.0,1310.0,890.0,650.0,1040.0,160.0
43,15131,9,12,2,1,24,PA,1480.0,1180.0,770.0,460.0,460.0,60.0
44,15132,11,13,2,1,27,PA,4540.0,2350.0,900.0,430.0,310.0,20.0
45,15133,0,1,1,0,2,PA,1230.0,1010.0,550.0,320.0,230.0,0.0
46,15135,1,2,0,0,3,PA,870.0,610.0,420.0,290.0,340.0,60.0
47,15136,15,25,7,2,49,PA,4560.0,2910.0,1400.0,960.0,1290.0,300.0
48,15137,5,24,6,0,35,PA,2080.0,1580.0,770.0,430.0,360.0,30.0
49,15139,12,13,4,0,29,PA,1040.0,790.0,490.0,380.0,610.0,270.0
50,15140,1,2,0,0,3,PA,740.0,370.0,160.0,60.0,60.0,0.0
51,15142,0,1,0,0,1,PA,200.0,170.0,130.0,100.0,190.0,310.0
52,15143,13,30,6,0,49,PA,2740.0,1440.0,1130.0,980.0,2190.0,2040.0
53,15144,5,4,0,0,9,PA,810.0,620.0,330.0,220.0,200.0,0.0
54,15145,2,7,1,0,10,PA,1600.0,1060.0,400.0,190.0,150.0,30.0
55,15146,60,126,26,3,215,PA,4760.0,3480.0,2460.0,1680.0,2090.0,410.0
56,15147,11,14,2,1,28,PA,3170.0,2500.0,1360.0,820.0,770.0,110.0
57,15148,2,4,1,0,7,PA,580.0,350.0,120.0,50.0,30.0,0.0
58,15201,53,107,13,2,175,PA,2290.0,2300.0,1180.0,670.0,680.0,200.0
59,15202,19,34,16,2,71,PA,3640.0,3240.0,1550.0,900.0,1010.0,240.0
60,15203,80,135,20,1,236,PA,1590.0,1580.0,930.0,420.0,540.0,190.0
61,15204,2,4,0,0,6,PA,1770.0,1200.0,530.0,250.0,210.0,0.0
62,15205,56,117,20,5,198,PA,4110.0,3480.0,1960.0,1100.0,1320.0,300.0
63,15206,49,89,9,3,150,PA,5220.0,4100.0,1870.0,1000.0,1350.0,700.0
64,15207,8,11,2,0,21,PA,2150.0,1550.0,710.0,440.0,400.0,30.0
65,15208,4,11,1,0,16,PA,2010.0,1050.0,410.0,220.0,400.0,390.0
66,15209,10,20,2,2,34,PA,2180.0,1730.0,1050.0,720.0,860.0,130.0
67,15210,10,20,5,1,36,PA,5840.0,3770.0,1320.0,640.0,460.0,30.0
68,15211,12,23,0,1,36,PA,2040.0,2080.0,1040.0,500.0,580.0,180.0
69,15212,49,79,12,1,141,PA,5320.0,4200.0,1970.0,1040.0,1070.0,200.0
70,15213,65,154,22,3,244,PA,2550.0,1370.0,590.0,300.0,410.0,400.0
71,15214,2,4,1,0,7,PA,2940.0,1970.0,910.0,540.0,550.0,50.0
72,15215,17,24,3,2,46,PA,2070.0,1330.0,750.0,550.0,920.0,700.0
73,15216,34,55,11,2,102,PA,4000.0,3490.0,1840.0,1090.0,1490.0,400.0
74,15217,70,104,18,6,198,PA,3440.0,2330.0,1600.0,1010.0,1970.0,1810.0
75,15218,10,26,3,2,41,PA,2510.0,1980.0,1030.0,650.0,830.0,300.0
76,15219,51,71,9,3,134,PA,2690.0,1320.0,440.0,220.0,230.0,90.0
77,15220,34,43,6,5,88,PA,2720.0,2300.0,1620.0,1220.0,1410.0,240.0
78,15221,23,25,8,0,56,PA,6140.0,4420.0,1990.0,1160.0,1230.0,300.0
79,15222,120,208,41,10,379,PA,660.0,510.0,430.0,300.0,510.0,430.0
80,15223,12,19,2,1,34,PA,1470.0,1190.0,630.0,340.0,260.0,20.0
81,15224,36,60,9,2,107,PA,2200.0,1970.0,820.0,270.0,330.0,90.0
82,15225,2,3,0,0,5,PA,230.0,200.0,90.0,50.0,40.0,0.0
83,15226,17,29,4,2,52,PA,2470.0,2170.0,1300.0,750.0,670.0,50.0
84,15227,18,34,5,0,57,PA,5100.0,4240.0,2500.0,1530.0,1670.0,190.0
85,15228,27,48,7,4,86,PA,2360.0,1440.0,990.0,850.0,2000.0,1170.0
86,15229,9,22,6,1,38,PA,2360.0,1890.0,1360.0,910.0,1070.0,180.0
87,15232,55,76,9,2,142,PA,1290.0,1400.0,860.0,380.0,570.0,550.0
88,15233,6,25,2,0,33,PA,590.0,470.0,190.0,100.0,120.0,50.0
89,15234,25,41,3,1,70,PA,2380.0,2120.0,1240.0,800.0,960.0,150.0
90,15235,30,51,10,1,92,PA,6500.0,5330.0,2840.0,1710.0,1670.0,300.0
91,15236,28,65,12,0,105,PA,5020.0,3770.0,2690.0,1960.0,2630.0,390.0
92,15237,85,172,25,5,287,PA,6180.0,4160.0,3230.0,2720.0,4760.0,1630.0
93,15238,32,60,12,4,108,PA,1840.0,1020.0,710.0,560.0,1180.0,1600.0
94,15239,9,20,5,0,34,PA,3430.0,2370.0,1720.0,1320.0,1890.0,300.0
95,15241,19,50,15,2,86,PA,2700.0,1220.0,1010.0,940.0,2550.0,1890.0
96,15243,7,5,0,0,12,PA,1790.0,1030.0,950.0,900.0,1710.0,760.0
97,15301,0,1,0,0,1,PA,8620.0,5480.0,3290.0,2290.0,2900.0,720.0
98,15317,52,85,10,2,149,PA,5700.0,3590.0,2620.0,2230.0,4450.0,1910.0
99,15321,2,3,0,0,5,PA,280.0,180.0,140.0,130.0,150.0,30.0
100,15332,1,5,0,0,6,PA,1380.0,950.0,670.0,510.0,610.0,140.0
101,15342,1,2,0,0,3,PA,870.0,610.0,390.0,290.0,370.0,50.0
102,15367,1,1,0,0,2,PA,1350.0,470.0,360.0,340.0,1010.0,980.0
103,15632,2,1,1,0,4,PA,1550.0,870.0,580.0,460.0,920.0,420.0
104,15636,1,3,1,0,5,PA,590.0,310.0,200.0,210.0,510.0,160.0
105,15637,1,2,1,0,4,PA,360.0,230.0,160.0,90.0,90.0,0.0
106,15642,28,50,10,1,89,PA,7410.0,4750.0,3370.0,2750.0,4510.0,910.0
107,15668,31,31,9,0,71,PA,2010.0,990.0,810.0,750.0,1700.0,760.0
108,15949,0,2,0,0,2,PA,140.0,90.0,40.0,20.0,20.0,0.0
109,16051,0,1,0,0,1,PA,550.0,360.0,230.0,150.0,180.0,30.0
110,16930,0,1,0,0,1,PA,200.0,130.0,110.0,70.0,80.0,0.0
111,17744,0,1,0,0,1,PA,570.0,410.0,210.0,140.0,120.0,0.0
112,18447,2,0,0,0,2,PA,1960.0,1440.0,830.0,500.0,540.0,70.0
113,19355,5,14,2,0,21,PA,3260.0,1760.0,1360.0,1230.0,2760.0,2670.0
114,19362,1,2,1,0,4,PA,840.0,680.0,420.0,270.0,360.0,70.0
115,19464,3,1,0,0,4,PA,8490.0,5530.0,3330.0,2230.0,3070.0,490.0
116,21635,2,6,0,0,8,MD,290.0,210.0,160.0,100.0,180.0,50.0
117,27262,0,1,0,0,1,NC,4700.0,2660.0,980.0,610.0,820.0,470.0
118,27278,1,0,0,0,1,NC,3760.0,2530.0,1620.0,1200.0,2340.0,850.0
119,27536,1,0,0,0,1,NC,3950.0,1860.0,570.0,280.0,270.0,90.0
120,27614,0,1,0,0,1,NC,4110.0,2420.0,1740.0,1420.0,3480.0,2760.0
121,28012,20,49,8,5,82,NC,3450.0,2540.0,1570.0,1030.0,1700.0,610.0
122,28025,38,70,22,5,135,NC,8730.0,6120.0,3200.0,2030.0,2380.0,610.0
123,28027,72,136,22,4,234,NC,10120.0,7110.0,4010.0,2940.0,4790.0,1420.0
124,28031,62,113,22,4,201,NC,3760.0,2540.0,1920.0,1480.0,2710.0,1860.0
125,28032,2,3,0,1,6,NC,500.0,390.0,230.0,120.0,180.0,120.0
126,28034,3,12,1,1,17,NC,3130.0,2230.0,1170.0,670.0,620.0,60.0
127,28036,10,29,5,3,47,NC,1930.0,1130.0,890.0,750.0,1890.0,1470.0
128,28037,2,0,0,0,2,NC,2800.0,1800.0,1300.0,1120.0,2270.0,1110.0
129,28052,10,34,6,0,50,NC,7410.0,4050.0,1580.0,640.0,520.0,80.0
130,28054,47,50,13,4,114,NC,7190.0,4860.0,2210.0,1140.0,1140.0,230.0
131,28056,25,40,5,3,73,NC,5050.0,3460.0,2140.0,1530.0,2260.0,560.0
132,28075,14,28,3,0,45,NC,2450.0,1430.0,1030.0,1010.0,2400.0,670.0
133,28078,90,192,19,5,306,NC,6920.0,4760.0,3640.0,3050.0,6760.0,2680.0
134,28079,42,86,8,2,138,NC,5150.0,3460.0,2540.0,2040.0,2880.0,510.0
135,28081,9,8,0,0,17,NC,4840.0,3190.0,1520.0,860.0,1020.0,210.0
136,28083,12,37,3,1,53,NC,4810.0,3290.0,1480.0,730.0,550.0,50.0
137,28098,2,1,0,0,3,NC,730.0,540.0,280.0,140.0,150.0,0.0
138,28101,0,3,0,0,3,NC,90.0,80.0,50.0,30.0,100.0,0.0
139,28104,23,40,9,3,75,NC,3780.0,2140.0,1640.0,1360.0,3140.0,1860.0
140,28105,112,192,34,9,347,NC,6150.0,4260.0,2630.0,2040.0,3500.0,1230.0
141,28107,5,5,0,0,10,NC,1160.0,750.0,540.0,430.0,530.0,100.0
