Index,zip,yelp_dollar_1,yelp_dollar_2,yelp_dollar_3,yelp_dollar_4,Total_Business,STATE,income_level_1,income_level_2,income_level_3,income_level_4,income_level_5,income_level_6,target
0,12919,1,1,1,0,3,NY,580.0,420.0,250.0,170.0,160.0,0.0,2
1,12923,0,1,0,0,1,NY,80.0,70.0,30.0,20.0,20.0,0.0,2
2,12979,3,1,0,0,4,NY,430.0,290.0,160.0,130.0,160.0,0.0,2
3,15003,6,8,0,2,16,PA,2340.0,1650.0,820.0,450.0,360.0,40.0,2
4,15015,0,1,0,0,1,PA,160.0,70.0,60.0,70.0,190.0,110.0,4
5,15017,17,41,6,3,67,PA,2380.0,1930.0,1320.0,910.0,1330.0,520.0,2
6,15024,2,6,1,1,10,PA,1470.0,1050.0,650.0,490.0,630.0,180.0,2
7,15025,2,4,0,0,6,PA,2870.0,1740.0,1000.0,730.0,1200.0,370.0,2
8,15026,1,0,0,0,1,PA,580.0,400.0,300.0,230.0,410.0,90.0,3
9,15030,0,1,0,0,1,PA,210.0,150.0,80.0,30.0,20.0,0.0,2
10,15031,2,0,0,0,2,PA,120.0,80.0,40.0,40.0,0.0,0.0,2
11,15034,0,3,0,0,3,PA,360.0,280.0,120.0,70.0,50.0,0.0,2
12,15035,0,2,1,1,4,PA,450.0,360.0,150.0,80.0,50.0,0.0,2
13,15037,6,2,0,0,8,PA,1890.0,1350.0,860.0,640.0,770.0,90.0,2
14,15038,1,0,0,0,1,PA,70.0,70.0,20.0,30.0,0.0,0.0,2
15,15042,0,1,0,0,1,PA,1420.0,950.0,670.0,540.0,650.0,100.0,2
16,15044,11,24,4,0,39,PA,4090.0,2090.0,1630.0,1470.0,3240.0,2020.0,3
17,15045,0,3,0,0,3,PA,940.0,590.0,280.0,140.0,100.0,0.0,2
18,15051,0,1,0,0,1,PA,80.0,70.0,30.0,40.0,0.0,0.0,2
19,15055,0,1,0,0,1,PA,220.0,230.0,150.0,100.0,110.0,20.0,2
20,15056,1,1,1,0,3,PA,210.0,170.0,70.0,40.0,60.0,0.0,2
21,15057,2,2,1,0,5,PA,2160.0,1290.0,910.0,790.0,1720.0,520.0,3
22,15063,1,5,1,0,7,PA,1950.0,1450.0,910.0,600.0,650.0,80.0,2
23,15067,0,2,0,0,2,PA,460.0,310.0,160.0,90.0,80.0,0.0,2
