STATE,zipcode,1,2,3,4,5,6
AL,35004,1510.0,1410.0,950.0,650.0,630.0,60.0
AL,35005,1310.0,960.0,450.0,200.0,180.0,0.0
AL,35006,430.0,330.0,190.0,120.0,130.0,0.0
AL,35007,4070.0,2650.0,1820.0,1340.0,1820.0,240.0
AL,35010,3620.0,2070.0,890.0,530.0,620.0,180.0
AL,35014,660.0,460.0,210.0,140.0,120.0,30.0
AL,35016,2810.0,1730.0,1060.0,680.0,720.0,130.0
AL,35019,360.0,250.0,140.0,60.0,80.0,0.0
AL,35020,5450.0,2470.0,720.0,230.0,160.0,20.0
AL,35022,3240.0,2430.0,1610.0,1020.0,1300.0,200.0
AL,35023,3690.0,2910.0,1550.0,930.0,900.0,70.0
AL,35031,1190.0,810.0,430.0,230.0,180.0,20.0
AL,35033,460.0,380.0,210.0,150.0,140.0,40.0
AL,35034,700.0,370.0,160.0,80.0,80.0,0.0
AL,35035,230.0,150.0,80.0,50.0,60.0,0.0
AL,35040,2360.0,2190.0,1410.0,790.0,760.0,80.0
AL,35042,890.0,570.0,320.0,190.0,210.0,20.0
AL,35043,1310.0,820.0,690.0,710.0,1270.0,270.0
AL,35044,1390.0,810.0,390.0,220.0,220.0,30.0
AL,35045,2340.0,1420.0,750.0,460.0,460.0,70.0
AL,35046,870.0,590.0,330.0,230.0,290.0,40.0
AL,35049,520.0,440.0,250.0,180.0,160.0,0.0
AL,35051,1270.0,740.0,410.0,320.0,430.0,120.0
AL,35053,340.0,250.0,170.0,110.0,140.0,40.0
AL,35054,620.0,380.0,260.0,210.0,280.0,70.0
AL,35055,3150.0,2060.0,1100.0,720.0,740.0,180.0
AL,35057,2010.0,1360.0,740.0,500.0,560.0,120.0
AL,35058,1710.0,1080.0,580.0,380.0,380.0,90.0
AL,35060,90.0,50.0,20.0,0.0,0.0,0.0
AL,35061,310.0,180.0,90.0,30.0,30.0,0.0
AL,35062,1160.0,750.0,520.0,360.0,390.0,40.0
AL,35063,480.0,350.0,170.0,100.0,100.0,0.0
AL,35064,2220.0,1230.0,450.0,210.0,190.0,0.0
AL,35068,1230.0,1160.0,700.0,330.0,310.0,30.0
AL,35071,2240.0,1820.0,1210.0,850.0,1160.0,200.0
AL,35072,780.0,570.0,220.0,150.0,100.0,0.0
AL,35073,370.0,310.0,130.0,70.0,50.0,0.0
AL,35077,2210.0,1480.0,700.0,440.0,350.0,30.0
AL,35078,350.0,230.0,110.0,80.0,100.0,0.0
AL,35079,1110.0,830.0,650.0,430.0,360.0,40.0
AL,35080,2120.0,1420.0,1240.0,1060.0,1740.0,260.0
AL,35083,460.0,340.0,190.0,110.0,100.0,0.0
AL,35085,1340.0,940.0,510.0,290.0,290.0,30.0
AL,35087,390.0,200.0,120.0,70.0,60.0,0.0
AL,35089,360.0,250.0,90.0,30.0,20.0,0.0
AL,35091,310.0,220.0,230.0,190.0,290.0,20.0
AL,35094,2280.0,1590.0,990.0,590.0,700.0,140.0
AL,35096,1280.0,910.0,520.0,340.0,320.0,50.0
AL,35097,260.0,200.0,150.0,90.0,70.0,0.0
AL,35098,230.0,140.0,70.0,60.0,60.0,0.0
AL,35111,1970.0,1500.0,1240.0,940.0,1170.0,150.0
AL,35112,80.0,70.0,30.0,0.0,0.0,0.0
AL,35114,960.0,590.0,450.0,370.0,620.0,80.0
AL,35115,2320.0,1280.0,700.0,390.0,440.0,70.0
AL,35116,610.0,480.0,300.0,240.0,320.0,50.0
AL,35117,720.0,640.0,470.0,340.0,440.0,70.0
AL,35118,510.0,370.0,200.0,140.0,130.0,0.0
AL,35120,2070.0,1530.0,1060.0,680.0,700.0,70.0
AL,35121,2310.0,1570.0,850.0,490.0,530.0,130.0
AL,35124,3380.0,2530.0,1780.0,1270.0,2150.0,620.0
AL,35125,1840.0,1220.0,600.0,380.0,310.0,40.0
AL,35126,3150.0,2480.0,1560.0,1070.0,1140.0,100.0
AL,35127,1440.0,1210.0,760.0,440.0,450.0,40.0
AL,35128,1460.0,1010.0,610.0,450.0,610.0,130.0
AL,35130,460.0,330.0,200.0,110.0,100.0,0.0
AL,35131,580.0,440.0,230.0,120.0,110.0,0.0
AL,35133,550.0,410.0,280.0,170.0,150.0,0.0
AL,35135,260.0,190.0,150.0,90.0,120.0,0.0
AL,35136,240.0,170.0,110.0,60.0,70.0,0.0
AL,35143,480.0,320.0,160.0,120.0,130.0,30.0
AL,35146,1340.0,1010.0,730.0,560.0,750.0,130.0
AL,35147,630.0,500.0,380.0,280.0,400.0,90.0
AL,35148,460.0,290.0,140.0,100.0,70.0,0.0
AL,35149,110.0,80.0,50.0,0.0,0.0,0.0
AL,35150,3090.0,1910.0,890.0,490.0,490.0,70.0
AL,35151,1100.0,750.0,460.0,310.0,290.0,30.0
AL,35160,4420.0,2780.0,1210.0,650.0,520.0,100.0
AL,35171,460.0,330.0,220.0,130.0,190.0,0.0
AL,35172,430.0,320.0,190.0,90.0,90.0,0.0
AL,35173,3280.0,2260.0,1840.0,1590.0,2950.0,790.0
AL,35175,730.0,510.0,300.0,210.0,270.0,40.0
AL,35176,130.0,100.0,50.0,30.0,20.0,0.0
AL,35178,590.0,390.0,230.0,120.0,110.0,20.0
AL,35179,1440.0,960.0,600.0,340.0,320.0,70.0
AL,35180,1820.0,1400.0,980.0,630.0,770.0,80.0
AL,35183,100.0,80.0,40.0,30.0,30.0,0.0
AL,35184,800.0,610.0,330.0,190.0,130.0,20.0
AL,35186,630.0,420.0,310.0,240.0,340.0,80.0
AL,35188,370.0,290.0,220.0,140.0,150.0,0.0
AL,35203,540.0,270.0,160.0,100.0,160.0,120.0
AL,35204,2320.0,920.0,240.0,70.0,40.0,0.0
AL,35205,3330.0,2370.0,830.0,350.0,470.0,280.0
AL,35206,3720.0,1830.0,590.0,220.0,170.0,0.0
AL,35207,2070.0,850.0,230.0,90.0,40.0,0.0
AL,35208,3400.0,1690.0,450.0,150.0,100.0,0.0
AL,35209,4020.0,2660.0,1410.0,920.0,1830.0,1130.0
AL,35210,2320.0,1770.0,1040.0,600.0,660.0,190.0
AL,35211,6090.0,2910.0,930.0,360.0,270.0,50.0
AL,35212,2720.0,1080.0,420.0,200.0,240.0,50.0
AL,35213,1490.0,1040.0,790.0,470.0,1230.0,1810.0
AL,35214,3730.0,2560.0,1100.0,450.0,400.0,20.0
AL,35215,10180.0,5960.0,2170.0,910.0,680.0,40.0
AL,35216,5290.0,3940.0,2010.0,1160.0,2430.0,1320.0
AL,35217,2800.0,1380.0,470.0,200.0,160.0,20.0
AL,35218,1630.0,720.0,170.0,40.0,20.0,0.0
AL,35221,1010.0,580.0,140.0,40.0,20.0,0.0
AL,35222,1190.0,830.0,520.0,370.0,530.0,320.0
AL,35223,1140.0,580.0,460.0,370.0,1190.0,1740.0
AL,35224,1190.0,630.0,220.0,70.0,40.0,0.0
AL,35226,3710.0,2790.0,2280.0,1950.0,4210.0,1630.0
AL,35228,2320.0,1280.0,420.0,110.0,90.0,0.0
AL,35233,290.0,210.0,170.0,80.0,90.0,40.0
AL,35234,1220.0,530.0,110.0,30.0,20.0,0.0
AL,35235,3450.0,3050.0,1430.0,690.0,560.0,50.0
AL,35242,6280.0,4280.0,2930.0,2240.0,5530.0,3990.0
AL,35243,2310.0,1940.0,1360.0,970.0,1770.0,1530.0
AL,35244,4040.0,3140.0,2060.0,1570.0,3620.0,1510.0
AL,35401,6140.0,2370.0,630.0,270.0,330.0,130.0
AL,35404,4020.0,2150.0,860.0,370.0,410.0,100.0
AL,35405,7630.0,4830.0,2270.0,1380.0,1700.0,260.0
AL,35406,1650.0,1060.0,750.0,660.0,1480.0,1070.0
AL,35441,190.0,140.0,60.0,30.0,40.0,0.0
AL,35442,1040.0,500.0,150.0,90.0,80.0,20.0
AL,35443,390.0,170.0,70.0,0.0,20.0,0.0
AL,35444,570.0,420.0,240.0,160.0,120.0,0.0
AL,35446,330.0,230.0,120.0,80.0,80.0,0.0
AL,35447,610.0,300.0,140.0,80.0,90.0,0.0
AL,35452,590.0,370.0,270.0,150.0,190.0,0.0
AL,35453,1960.0,1290.0,720.0,440.0,400.0,50.0
AL,35456,770.0,480.0,260.0,150.0,130.0,20.0
AL,35458,80.0,60.0,40.0,20.0,20.0,0.0
AL,35459,160.0,90.0,40.0,30.0,0.0,0.0
AL,35460,130.0,80.0,30.0,0.0,0.0,0.0
AL,35461,280.0,200.0,100.0,60.0,60.0,0.0
AL,35462,1040.0,500.0,140.0,70.0,100.0,0.0
AL,35463,290.0,210.0,120.0,70.0,80.0,0.0
AL,35464,140.0,40.0,20.0,0.0,0.0,0.0
AL,35466,810.0,590.0,350.0,230.0,260.0,0.0
AL,35469,60.0,40.0,30.0,0.0,0.0,0.0
AL,35470,910.0,450.0,180.0,110.0,120.0,30.0
AL,35473,2290.0,1880.0,1120.0,760.0,910.0,150.0
AL,35474,990.0,780.0,420.0,290.0,270.0,20.0
AL,35475,1840.0,1370.0,1090.0,920.0,1360.0,270.0
AL,35476,1740.0,1080.0,440.0,180.0,170.0,50.0
AL,35480,220.0,190.0,90.0,90.0,100.0,0.0
AL,35481,600.0,330.0,170.0,90.0,90.0,0.0
AL,35490,530.0,490.0,280.0,210.0,210.0,0.0
AL,35501,1750.0,940.0,440.0,260.0,240.0,40.0
AL,35503,1320.0,860.0,460.0,290.0,320.0,40.0
AL,35504,1690.0,1210.0,740.0,570.0,690.0,150.0
AL,35540,360.0,260.0,150.0,80.0,70.0,0.0
AL,35541,470.0,310.0,170.0,140.0,150.0,40.0
AL,35542,170.0,130.0,60.0,50.0,30.0,0.0
AL,35543,190.0,100.0,70.0,0.0,20.0,0.0
AL,35544,100.0,60.0,40.0,30.0,0.0,0.0
AL,35546,530.0,450.0,240.0,130.0,120.0,0.0
AL,35548,270.0,170.0,60.0,50.0,0.0,0.0
