zip,yelp_dollar_1,yelp_dollar_2,yelp_dollar_3,yelp_dollar_4,Total_Business,STATE,income_level_1,income_level_2,income_level_3,income_level_4,income_level_5,income_level_6,affluence,yelp_perc_1,yelp_perc_2,yelp_perc_3,yelp_perc_4,city
12919,1,1,1,0,3,NY,580.0,420.0,250.0,170.0,160.0,0.0,49050.632911392415,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,Champlain
12923,0,1,0,0,1,NY,80.0,70.0,30.0,20.0,20.0,0.0,46590.90909090909,0.0,1.0,0.0,0.0,Churubusco
12979,3,1,0,0,4,NY,430.0,290.0,160.0,130.0,160.0,0.0,52670.940170940165,0.75,0.25,0.0,0.0,Rouses Point
15003,6,8,0,2,16,PA,2340.0,1650.0,820.0,450.0,360.0,40.0,43418.72791519434,0.375,0.5,0.0,0.125,Ambridge
15015,0,1,0,0,1,PA,160.0,70.0,60.0,70.0,190.0,110.0,106818.18181818182,0.0,1.0,0.0,0.0,Bradfordwoods
15017,17,41,6,3,67,PA,2380.0,1930.0,1320.0,910.0,1330.0,520.0,70768.77234803338,0.2537313432835821,0.6119402985074627,0.08955223880597014,0.04477611940298507,Bridgeville
15024,2,6,1,1,10,PA,1470.0,1050.0,650.0,490.0,630.0,180.0,62807.6062639821,0.2,0.6,0.1,0.1,Cheswick
15025,2,4,0,0,6,PA,2870.0,1740.0,1000.0,730.0,1200.0,370.0,63211.12515802781,0.3333333333333333,0.6666666666666666,0.0,0.0,Clairton
15026,1,0,0,0,1,PA,580.0,400.0,300.0,230.0,410.0,90.0,72201.49253731343,1.0,0.0,0.0,0.0,clinton
15030,0,1,0,0,1,PA,210.0,150.0,80.0,30.0,20.0,0.0,38520.408163265296,0.0,1.0,0.0,0.0,Creighton
15031,2,0,0,0,2,PA,120.0,80.0,40.0,40.0,0.0,0.0,37500.0,1.0,0.0,0.0,0.0,Cuddy
15034,0,3,0,0,3,PA,360.0,280.0,120.0,70.0,50.0,0.0,41051.13636363636,0.0,1.0,0.0,0.0,Dravosburg
15035,0,2,1,1,4,PA,450.0,360.0,150.0,80.0,50.0,0.0,39449.54128440367,0.0,0.5,0.25,0.25,East Mc Keesport
15037,6,2,0,0,8,PA,1890.0,1350.0,860.0,640.0,770.0,90.0,57500.0,0.75,0.25,0.0,0.0,Elizabeth Township
15038,1,0,0,0,1,PA,70.0,70.0,20.0,30.0,0.0,0.0,38815.78947368421,1.0,0.0,0.0,0.0,Elrama
15042,0,1,0,0,1,PA,1420.0,950.0,670.0,540.0,650.0,100.0,61200.923787528875,0.0,1.0,0.0,0.0,Sewickley
15044,11,24,4,0,39,PA,4090.0,2090.0,1630.0,1470.0,3240.0,2020.0,92916.09353507565,0.28205128205128205,0.6153846153846154,0.10256410256410256,0.0,Gibsonia
15045,0,3,0,0,3,PA,940.0,590.0,280.0,140.0,100.0,0.0,38353.65853658537,0.0,1.0,0.0,0.0,Glassport
15051,0,1,0,0,1,PA,80.0,70.0,30.0,40.0,0.0,0.0,40909.09090909091,0.0,1.0,0.0,0.0,Indianola
15055,0,1,0,0,1,PA,220.0,230.0,150.0,100.0,110.0,20.0,61445.78313253013,0.0,1.0,0.0,0.0,Lawrence
15056,1,1,1,0,3,PA,210.0,170.0,70.0,40.0,60.0,0.0,47045.454545454544,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,Leetsdale
15057,2,2,1,0,5,PA,2160.0,1290.0,910.0,790.0,1720.0,520.0,79753.0446549391,0.4,0.4,0.2,0.0,Mc Donald
15063,1,5,1,0,7,PA,1950.0,1450.0,910.0,600.0,650.0,80.0,54188.82978723403,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,Monongahela
15067,0,2,0,0,2,PA,460.0,310.0,160.0,90.0,80.0,0.0,42954.545454545456,0.0,1.0,0.0,0.0,New Eagle
15068,7,14,2,1,24,PA,7260.0,4610.0,2730.0,1850.0,2130.0,340.0,52887.15644820296,0.2916666666666667,0.5833333333333334,0.08333333333333333,0.04166666666666666,New Kensington
15071,1,8,2,0,11,PA,1700.0,1260.0,840.0,630.0,1010.0,260.0,68881.57894736843,0.09090909090909093,0.7272727272727273,0.18181818181818185,0.0,Pittsburgh
15085,1,5,0,0,6,PA,1390.0,920.0,610.0,470.0,620.0,100.0,60614.355231143556,0.16666666666666666,0.8333333333333334,0.0,0.0,Trafford
15086,1,2,0,0,3,PA,50.0,30.0,40.0,0.0,40.0,40.0,101250.0,0.3333333333333333,0.6666666666666666,0.0,0.0,New Kensington
15090,35,50,12,3,100,PA,2940.0,1470.0,1230.0,1030.0,2780.0,2200.0,105225.32188841199,0.35,0.5,0.12,0.03,Wexford
15101,6,21,4,0,31,PA,3790.0,2220.0,1740.0,1410.0,2700.0,1090.0,80328.18532818533,0.1935483870967742,0.6774193548387096,0.12903225806451613,0.0,Allison Park
15102,12,39,2,1,54,PA,4670.0,3000.0,2210.0,2020.0,3140.0,700.0,71902.7954256671,0.2222222222222222,0.7222222222222222,0.037037037037037035,0.018518518518518517,Bethel Park
15104,0,5,0,0,5,PA,2090.0,1030.0,290.0,120.0,60.0,0.0,28516.713091922007,0.0,1.0,0.0,0.0,Braddock
15106,15,20,1,2,38,PA,3480.0,2690.0,1540.0,1030.0,1180.0,240.0,55880.905511811034,0.3947368421052632,0.5263157894736842,0.02631578947368421,0.05263157894736842,Carnegie
15108,36,62,12,1,111,PA,6210.0,4260.0,2930.0,2330.0,3940.0,1240.0,72949.5456719273,0.32432432432432434,0.5585585585585585,0.10810810810810813,0.009009009009009007,Moon Twp
15110,1,0,0,0,1,PA,1350.0,590.0,180.0,70.0,50.0,0.0,28515.625,1.0,0.0,0.0,0.0,West Mifflin
15112,2,1,0,0,3,PA,720.0,460.0,180.0,80.0,60.0,0.0,35666.666666666664,0.6666666666666666,0.3333333333333333,0.0,0.0,East Pittsburgh
15116,4,7,0,0,11,PA,2270.0,1490.0,1180.0,1000.0,1520.0,290.0,70451.6129032258,0.3636363636363637,0.6363636363636364,0.0,0.0,Glenshaw
15120,23,37,6,1,67,PA,3870.0,2620.0,1280.0,760.0,770.0,90.0,45913.205537806185,0.34328358208955223,0.5522388059701493,0.08955223880597014,0.01492537313432836,West Homestead
15122,11,33,2,0,46,PA,3940.0,2790.0,1660.0,1060.0,930.0,80.0,48745.21988527725,0.2391304347826087,0.7173913043478259,0.043478260869565216,0.0,West Mifflin
15126,1,4,1,0,6,PA,1220.0,870.0,590.0,460.0,670.0,100.0,64066.496163682874,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,Imperial
15129,2,2,1,1,6,PA,1760.0,1310.0,890.0,650.0,1040.0,160.0,65339.93115318418,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,Library
15131,6,9,2,1,18,PA,1480.0,1180.0,770.0,460.0,460.0,60.0,53316.32653061225,0.3333333333333333,0.5,0.1111111111111111,0.05555555555555555,White Oak
15132,7,6,1,0,14,PA,4540.0,2350.0,900.0,430.0,310.0,20.0,33947.36842105263,0.5,0.42857142857142855,0.07142857142857142,0.0,McKeesport
15133,0,0,1,0,1,PA,1230.0,1010.0,550.0,320.0,230.0,0.0,44947.60479041916,0.0,0.0,1.0,0.0,Clairton
15136,14,24,7,1,46,PA,4560.0,2910.0,1400.0,960.0,1290.0,300.0,53075.74430823117,0.3043478260869565,0.5217391304347826,0.15217391304347827,0.021739130434782608,McKees Rocks
15137,3,13,6,0,22,PA,2080.0,1580.0,770.0,430.0,360.0,30.0,44285.714285714275,0.13636363636363635,0.5909090909090909,0.2727272727272727,0.0,North Versailles
15139,7,9,3,0,19,PA,1040.0,790.0,490.0,380.0,610.0,270.0,74162.01117318436,0.3684210526315789,0.4736842105263158,0.15789473684210525,0.0,Oakmont
